id;order_date;status;total_amount
1;2024-11-20T15:33:30;disadvantage;26225.22
2;2024-11-21T03:57:43;rich immunize;19733.83
3;2024-11-21T07:17:27;whopping majestically reluctantly;20011.57
4;2024-11-21T00:24:08;zowie;13921.32
5;2024-11-20T19:26:16;indeed which;12072.21
6;2024-11-21T12:28:28;unless;31743.91
7;2024-11-21T02:12:16;so;10614.09
8;2024-11-21T09:48:41;punctually usually colorless;21922.84
9;2024-11-21T06:26:50;angelic rally;31391.52
10;2024-11-21T04:35:05;innocently upon clearly;12011.07
